foodId,servingSize,servingSizeUnit,householdServingFullText
746770,102.0,wedge,wedge
746770,441.0,each,each
746770,814.0,each,each
746770,160.0,cup,cup
746770,138.0,pieces,pieces
746770,156.0,cup,cup
746770,552.0,each,each
746770,55.0,wedge,wedge
746771,165.0,cup,cup
746771,140.0,each,each
746772,246.0,cup,cup
746773,140.0,cup,cup
746773,178.0,each,each
746773,230.0,each,each
746773,148.0,each,each
746774,611.0,order,order
746774,41.8,pieces,pieces
746775,6.1,tsp,teaspoon
746776,246.0,cup,cup
746777,35.7,tbsp,tablespoon
746778,245.0,cup,cup
746779,18.6,link,link
746780,86.6,link,link
746781,186.0,link,link
746781,185.0,cup,cup
746781,80.4,link,link
746782,249.0,cup,cup
746783,450.0,package,package
746783,27.9,link,link
746784,4.0,tsp,teaspoon
746784,188.0,cup,cup
746785,155.0,ckd pr g,paired cooked w
746952,16.2,slice,slice
747429,16.0,slice,slice
747447,76.0,cup,cup
747997,34.0,egg,egg
748236,17.0,egg,egg
748278,90.9,ml,milliliter
748323,91.3,ml,milliliter
748366,91.3,ml,milliliter
748608,90.7,ml,milliliter
748967,50.3,egg,egg
749420,6.3,slice,slice
790577,197.0,Onion,Onion
790646,143.0,Onion,Onion
1105073,110.0,Banana,Banana
1105314,115.0,Banana,Banana
2340760,30.8,1 fl oz,1 fl oz
2340760,0,Quantity not specified,Quantity not specified
2340760,246,1 cup,1 cup
2340761,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340761,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340761,244,1 individual school container,1 individual school container
2340761,30.5,1 fl oz,1 fl oz
2340761,244,Quantity not specified,Quantity not specified
2340761,244,1 cup,1 cup
2340762,244,1 cup,1 cup
2340762,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340762,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340762,244,1 individual school container,1 individual school container
2340762,30.5,1 fl oz,1 fl oz
2340762,244,Quantity not specified,Quantity not specified
2340763,244,Quantity not specified,Quantity not specified
2340763,30.5,1 fl oz,1 fl oz
2340763,244,1 cup,1 cup
2340763,244,1 individual school container,1 individual school container
2340763,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340763,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340764,244,1 individual school container,1 individual school container
2340764,244,1 cup,1 cup
2340764,30.5,1 fl oz,1 fl oz
2340764,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340764,244,Quantity not specified,Quantity not specified
2340764,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340765,244,1 cup,1 cup
2340765,244,Quantity not specified,Quantity not specified
2340765,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340765,244,1 individual school container,1 individual school container
2340765,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340765,30.5,1 fl oz,1 fl oz
2340766,244,Quantity not specified,Quantity not specified
2340766,30.5,1 fl oz,1 fl oz
2340766,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340766,244,1 cup,1 cup
2340766,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340767,244,Quantity not specified,Quantity not specified
2340767,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340767,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340767,244,1 cup,1 cup
2340767,30.5,1 fl oz,1 fl oz
2340768,244,1 cup,1 cup
2340768,244,Quantity not specified,Quantity not specified
2340768,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340768,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340768,30.5,1 fl oz,1 fl oz
2340769,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340769,244,Quantity not specified,Quantity not specified
2340769,30.5,1 fl oz,1 fl oz
2340769,244,1 cup,1 cup
2340769,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340770,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340770,2.6,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340770,244,1 cup,1 cup
2340770,244,Quantity not specified,Quantity not specified
2340770,30.5,1 fl oz,1 fl oz
2340771,244,Quantity not specified,Quantity not specified
2340771,30.5,1 fl oz,1 fl oz
2340771,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340771,2.6,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340771,244,1 cup,1 cup
2340772,30.5,1 fl oz,1 fl oz
2340772,244,Quantity not specified,Quantity not specified
2340772,244,1 cup,1 cup
2340773,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340773,244,1 cup,1 cup
2340773,30.5,1 fl oz,1 fl oz
2340773,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340773,244,Quantity not specified,Quantity not specified
2340774,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340774,244,1 cup,1 cup
2340774,244,Quantity not specified,Quantity not specified
2340774,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340774,30.5,1 fl oz,1 fl oz
2340775,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340775,30.5,1 fl oz,1 fl oz
2340775,244,Quantity not specified,Quantity not specified
2340775,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340775,244,1 cup,1 cup
2340776,244,Quantity not specified,Quantity not specified
2340776,244,1 cup,1 cup
2340776,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340776,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340776,30.5,1 fl oz,1 fl oz
2340777,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340777,30.5,1 fl oz,1 fl oz
2340777,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340777,244,Quantity not specified,Quantity not specified
2340777,244,1 cup,1 cup
2340778,16,Quantity not specified,Quantity not specified
2340778,252,1 cup,1 cup
2340778,16,"Quantity not specified, if in beverage","Quantity not specified, if in beverage"
2340778,2.6,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340778,31.5,1 fl oz,1 fl oz
2340778,126,"Quantity not specified, as a drink or on cereal","Quantity not specified, as a drink or on cereal"
2340779,2.6,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340779,16,"Quantity not specified, if in beverage","Quantity not specified, if in beverage"
2340779,16,Quantity not specified,Quantity not specified
2340779,126,"Quantity not specified, as a drink or on cereal","Quantity not specified, as a drink or on cereal"
2340779,31.5,1 fl oz,1 fl oz
2340779,252,1 cup,1 cup
2340780,16,"Quantity not specified, if in beverage","Quantity not specified, if in beverage"
2340780,16,Quantity not specified,Quantity not specified
2340780,252,1 cup,1 cup
2340780,31.5,1 fl oz,1 fl oz
2340780,126,"Quantity not specified, as a drink or on cereal","Quantity not specified, as a drink or on cereal"
2340781,2.6,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340781,16,"Quantity not specified, if in beverage","Quantity not specified, if in beverage"
2340781,126,"Quantity not specified, as a drink or on cereal","Quantity not specified, as a drink or on cereal"
2340781,31.5,1 fl oz,1 fl oz
2340781,252,1 cup,1 cup
2340781,16,Quantity not specified,Quantity not specified
2340782,304,1 cup,1 cup
2340782,19,Quantity not specified,Quantity not specified
2340782,38,1 fl oz,1 fl oz
2340783,30.5,1 fl oz,1 fl oz
2340783,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340783,244,Quantity not specified,Quantity not specified
2340783,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340783,244,1 cup,1 cup
2340784,30.5,1 fl oz,1 fl oz
2340784,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340784,244,Quantity not specified,Quantity not specified
2340784,244,1 cup,1 cup
2340784,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340785,30.5,1 fl oz,1 fl oz
2340785,244,Quantity not specified,Quantity not specified
2340785,244,1 cup,1 cup
2340786,30.5,1 fl oz,1 fl oz
2340786,244,1 cup,1 cup
2340786,244,Quantity not specified,Quantity not specified
2340787,30.5,1 fl oz,1 fl oz
2340787,244,Quantity not specified,Quantity not specified
2340787,244,1 cup,1 cup
2340788,244,Quantity not specified,Quantity not specified
2340788,244,1 cup,1 cup
2340788,30.5,1 fl oz,1 fl oz
2340789,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340789,244,Quantity not specified,Quantity not specified
2340789,244,1 cup,1 cup
2340789,30.5,1 fl oz,1 fl oz
2340789,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340790,244,Quantity not specified,Quantity not specified
2340790,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340790,244,1 cup,1 cup
2340790,30.5,1 fl oz,1 fl oz
2340790,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340791,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340791,30.5,1 fl oz,1 fl oz
2340791,244,Quantity not specified,Quantity not specified
2340791,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340791,244,1 cup,1 cup
2340792,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340792,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340792,30.5,1 fl oz,1 fl oz
2340792,244,Quantity not specified,Quantity not specified
2340792,244,1 cup,1 cup
2340793,244,1 cup,1 cup
2340793,244,Quantity not specified,Quantity not specified
2340793,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340793,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340793,30.5,1 fl oz,1 fl oz
2340794,30.5,1 fl oz,1 fl oz
2340794,244,Quantity not specified,Quantity not specified
2340794,2.5,Guideline amount per fl oz of beverage,Guideline amount per fl oz of beverage
2340794,244,1 cup,1 cup
2340794,61,Guideline amount per cup of hot cereal,Guideline amount per cup of hot cereal
2340795,245,1 cup,1 cup
2340795,170,"1 container, NFS","1 container, NFS"
2340795,170,1 6 oz container,1 6 oz container
2340795,170,Quantity not specified,Quantity not specified
2340795,113,1 4 oz container,1 4 oz container
2340796,150,1 5.3 oz container,1 5.3 oz container
2340796,150,Quantity not specified,Quantity not specified
2340796,170,1 6 oz container,1 6 oz container
2340796,150,"1 container, NFS","1 container, NFS"
2340796,245,1 cup,1 cup
2340797,170,1 6 oz container,1 6 oz container
2340797,170,Quantity not specified,Quantity not specified
2340797,245,1 cup,1 cup
2340797,113,1 4 oz container,1 4 oz container
2340797,170,"1 container, NFS","1 container, NFS"
2340798,170,"1 container, NFS","1 container, NFS"
2340798,170,Quantity not specified,Quantity not specified
2340798,113,1 4 oz container,1 4 oz container
2340798,170,1 6 oz container,1 6 oz container
2340798,245,1 cup,1 cup
2340799,170,"1 container, NFS","1 container, NFS"
2340799,113,1 4 oz container,1 4 oz container
2340799,170,1 6 oz container,1 6 oz container
2340799,245,1 cup,1 cup
2340799,170,Quantity not specified,Quantity not specified
2340800,245,1 cup,1 cup
2340800,170,"1 container, NFS","1 container, NFS"
2340800,170,1 6 oz container,1 6 oz container
2340800,113,1 4 oz container,1 4 oz container
2340800,170,Quantity not specified,Quantity not specified
2340801,170,1 6 oz container,1 6 oz container
2340801,113,1 4 oz container,1 4 oz container
2340801,245,1 cup,1 cup
2340801,170,Quantity not specified,Quantity not specified
2340801,170,"1 container, NFS","1 container, NFS"
2340802,150,"1 container, NFS","1 container, NFS"
2340802,245,1 cup,1 cup
2340802,170,1 6 oz container,1 6 oz container
2340802,150,1 5.3 oz container,1 5.3 oz container
2340802,150,Quantity not specified,Quantity not specified
2340803,150,Quantity not specified,Quantity not specified
2340803,150,"1 container, NFS","1 container, NFS"
2340803,245,1 cup,1 cup
2340803,170,1 6 oz container,1 6 oz container
2340803,150,1 5.3 oz container,1 5.3 oz container
2340804,150,"1 container, NFS","1 container, NFS"
2340804,170,1 6 oz container,1 6 oz container
2340804,245,1 cup,1 cup
2340804,150,1 5.3 oz container,1 5.3 oz container
2340804,150,Quantity not specified,Quantity not specified
2340805,150,1 5.3 oz container,1 5.3 oz container
2340805,150,Quantity not specified,Quantity not specified
2340805,150,"1 container, NFS","1 container, NFS"
2340805,170,1 6 oz container,1 6 oz container
2340805,245,1 cup,1 cup
2340806,170,1 6 oz container,1 6 oz container
2340806,245,1 cup,1 cup
2340806,170,Quantity not specified,Quantity not specified
2340806,170,"1 container, NFS","1 container, NFS"
2340806,113,1 4 oz container,1 4 oz container
2340807,245,1 cup,1 cup
2340807,170,"1 container, NFS","1 container, NFS"
2340807,113,1 4 oz container,1 4 oz container
2340807,170,Quantity not specified,Quantity not specified
2340807,170,1 6 oz container,1 6 oz container
2340808,170,"1 container, NFS","1 container, NFS"
2340808,64,1 tube,1 tube
2340808,170,Quantity not specified,Quantity not specified
2340808,245,1 cup,1 cup
2340808,170,1 6 oz container,1 6 oz container
2340808,113,1 4 oz container,1 4 oz container
2340809,170,"1 container, NFS","1 container, NFS"
2340809,170,Quantity not specified,Quantity not specified
2340809,245,1 cup,1 cup
2340809,170,1 6 oz container,1 6 oz container
2340809,113,1 4 oz container,1 4 oz container
2340810,150,"1 container, NFS","1 container, NFS"
2340810,170,1 6 oz container,1 6 oz container
2340810,245,1 cup,1 cup
2340810,150,1 5.3 oz container,1 5.3 oz container
2340810,150,Quantity not specified,Quantity not specified
2340811,170,1 6 oz container,1 6 oz container
2340811,150,"1 container, NFS","1 container, NFS"
2340811,150,1 5.3 oz container,1 5.3 oz container
2340811,150,Quantity not specified,Quantity not specified
2340811,245,1 cup,1 cup
2340812,150,Quantity not specified,Quantity not specified
2340812,57,1 tube,1 tube
2340812,150,1 5.3 oz container,1 5.3 oz container
2340812,170,1 6 oz container,1 6 oz container
2340812,245,1 cup,1 cup
2340812,150,"1 container, NFS","1 container, NFS"
2340813,245,1 cup,1 cup
2340813,150,Quantity not specified,Quantity not specified
2340813,150,"1 container, NFS","1 container, NFS"
2340813,150,1 5.3 oz container,1 5.3 oz container
2340813,170,1 6 oz container,1 6 oz container
2340814,170,Quantity not specified,Quantity not specified
2340814,113,1 4 oz container,1 4 oz container
2340814,170,1 6 oz container,1 6 oz container
2340814,245,1 cup,1 cup
2340814,170,"1 container, NFS","1 container, NFS"
2340815,245,1 cup,1 cup
2340815,113,1 4 oz container,1 4 oz container
2340815,170,1 6 oz container,1 6 oz container
2340815,170,Quantity not specified,Quantity not specified
2340815,170,"1 container, NFS","1 container, NFS"
2340816,170,1 6 oz container,1 6 oz container
2340816,170,"1 container, NFS","1 container, NFS"
2340816,170,Quantity not specified,Quantity not specified
2340816,113,1 4 oz container,1 4 oz container
2340816,245,1 cup,1 cup
2340816,64,1 tube,1 tube
2340817,170,1 6 oz container,1 6 oz container
2340817,170,"1 container, NFS","1 container, NFS"
2340817,170,Quantity not specified,Quantity not specified
2340817,245,1 cup,1 cup
2340817,113,1 4 oz container,1 4 oz container
2340818,150,1 5.3 oz container,1 5.3 oz container
2340818,150,Quantity not specified,Quantity not specified
2340818,150,"1 container, NFS","1 container, NFS"
2340818,170,1 6 oz container,1 6 oz container
2340818,245,1 cup,1 cup
2340819,245,1 cup,1 cup
2340819,170,1 6 oz container,1 6 oz container
2340819,150,Quantity not specified,Quantity not specified
2340819,150,1 5.3 oz container,1 5.3 oz container
2340819,150,"1 container, NFS","1 container, NFS"
2340820,150,Quantity not specified,Quantity not specified
2340820,150,"1 container, NFS","1 container, NFS"
2340820,57,1 tube,1 tube
2340820,245,1 cup,1 cup
2340820,170,1 6 oz container,1 6 oz container
2340820,150,1 5.3 oz container,1 5.3 oz container
2340821,170,1 6 oz container,1 6 oz container
2340821,245,1 cup,1 cup
2340821,150,1 5.3 oz container,1 5.3 oz container
2340821,150,"1 container, NFS","1 container, NFS"
2340821,150,Quantity not specified,Quantity not specified
2340822,150,"1 container, NFS","1 container, NFS"
2340822,150,Quantity not specified,Quantity not specified
2340822,245,1 cup,1 cup
2340822,150,1 5.3 oz container,1 5.3 oz container
2340823,93,1 bottle,1 bottle
2340823,93,Quantity not specified,Quantity not specified
2340823,245,1 cup,1 cup
2340824,15,1 tablespoon,1 tablespoon
2340824,70,1 individual container,1 individual container
2340824,60,Quantity not specified,Quantity not specified
2340825,70,1 individual container,1 individual container
2340825,60,Quantity not specified,Quantity not specified
2340825,15,1 tablespoon,1 tablespoon
2340826,60,Quantity not specified,Quantity not specified
2340826,15,1 tablespoon,1 tablespoon
2340826,70,1 individual container,1 individual container
2340827,70,1 individual container,1 individual container
2340827,15,1 tablespoon,1 tablespoon
2340827,60,Quantity not specified,Quantity not specified
2340828,70,1 individual container,1 individual container
2340828,15,1 tablespoon,1 tablespoon
2340828,60,Quantity not specified,Quantity not specified
2340829,15,1 tablespoon,1 tablespoon
2340829,60,Quantity not specified,Quantity not specified
2340829,70,1 individual container,1 individual container
2340830,150,1 McDonald's parfait,1 McDonald's parfait
2340830,150,Quantity not specified,Quantity not specified
2340831,160,1 small ice cream cup,1 small ice cream cup
2340831,480,1 large ice cream cup,1 large ice cream cup
2340831,175,Quantity not specified,Quantity not specified
2340831,160,1 scoop,1 scoop
2340831,175,1 cup,1 cup
2340831,320,1 medium ice cream cup,1 medium ice cream cup
2340832,175,1 cup,1 cup
2340832,175,Quantity not specified,Quantity not specified
2340832,320,1 medium ice cream cup,1 medium ice cream cup
2340832,160,1 small ice cream cup,1 small ice cream cup
2340832,160,1 scoop,1 scoop
2340832,480,1 large ice cream cup,1 large ice cream cup
2340833,160,1 small ice cream cup,1 small ice cream cup
2340833,175,1 cup,1 cup
2340833,175,Quantity not specified,Quantity not specified
2340833,320,1 medium ice cream cup,1 medium ice cream cup
2340833,480,1 large ice cream cup,1 large ice cream cup
2340833,160,1 scoop,1 scoop
2340834,175,1 cup,1 cup
2340834,175,Quantity not specified,Quantity not specified
2340835,175,Quantity not specified,Quantity not specified
2340835,175,1 cup,1 cup
2340836,75,1 sandwich,1 sandwich
2340836,75,Quantity not specified,Quantity not specified
2340837,65,1 bar,1 bar
2340837,65,Quantity not specified,Quantity not specified
2340838,65,Quantity not specified,Quantity not specified
2340838,65,1 bar,1 bar
2340839,125,Quantity not specified,Quantity not specified
2340839,125,1 cone,1 cone
2340840,125,1 cone,1 cone
2340840,125,Quantity not specified,Quantity not specified
2340841,255,Quantity not specified,Quantity not specified
2340841,255,1 cone,1 cone
2340842,255,1 cone,1 cone
2340842,255,Quantity not specified,Quantity not specified
2340843,110,1 pouch,1 pouch
2340843,110,Quantity not specified,Quantity not specified
2340843,15,1 tablespoon,1 tablespoon
2340843,110,1 jar,1 jar
2340843,110,1 tub,1 tub
2340844,15,1 tablespoon,1 tablespoon
2340844,110,1 container,1 container
2340844,110,Quantity not specified,Quantity not specified
2340844,110,1 pouch,1 pouch
2340845,110,Quantity not specified,Quantity not specified
2340845,110,1 pouch,1 pouch
2340845,110,1 container,1 container
2340845,15,1 tablespoon,1 tablespoon
2340846,248,1 cup,1 cup
2340846,31,1 fl oz,1 fl oz
2340846,248,1 individual school container,1 individual school container
2340846,248,Quantity not specified,Quantity not specified
2340847,248,1 individual school container,1 individual school container
2340847,31,1 fl oz,1 fl oz
2340847,248,Quantity not specified,Quantity not specified
2340847,248,1 cup,1 cup
2340848,248,1 cup,1 cup
2340848,248,1 individual school container,1 individual school container
2340848,248,Quantity not specified,Quantity not specified
2340848,31,1 fl oz,1 fl oz
2340849,248,Quantity not specified,Quantity not specified
2340849,31,1 fl oz,1 fl oz
2340849,248,1 individual school container,1 individual school container
2340849,248,1 cup,1 cup
2340850,248,Quantity not specified,Quantity not specified
2340850,248,1 cup,1 cup
2340850,31,1 fl oz,1 fl oz
2340850,248,1 individual school container,1 individual school container
2340851,248,1 individual school container,1 individual school container
2340851,248,Quantity not specified,Quantity not specified
2340851,31,1 fl oz,1 fl oz
2340851,248,1 cup,1 cup
2340852,248,Quantity not specified,Quantity not specified
2340852,31,1 fl oz,1 fl oz
2340852,248,1 cup,1 cup
2340853,248,Quantity not specified,Quantity not specified
2340853,31,1 fl oz,1 fl oz
2340853,248,1 cup,1 cup
2340854,31,1 fl oz,1 fl oz
2340854,248,1 cup,1 cup
2340854,248,Quantity not specified,Quantity not specified
2340855,248,1 cup,1 cup
2340855,248,Quantity not specified,Quantity not specified
2340855,31,1 fl oz,1 fl oz
2340856,31,1 fl oz,1 fl oz
2340856,248,Quantity not specified,Quantity not specified
2340856,248,1 cup,1 cup
2340857,248,1 cup,1 cup
2340857,31,1 fl oz,1 fl oz
2340857,248,Quantity not specified,Quantity not specified
2340858,248,Quantity not specified,Quantity not specified
2340858,31,1 fl oz,1 fl oz
2340858,248,1 cup,1 cup
2340859,248,Quantity not specified,Quantity not specified
2340859,248,1 cup,1 cup
2340859,31,1 fl oz,1 fl oz
2340860,248,1 cup,1 cup
2340860,31,1 fl oz,1 fl oz
2340860,248,Quantity not specified,Quantity not specified
2340861,248,1 cup,1 cup
2340861,248,Quantity not specified,Quantity not specified
2340861,31,1 fl oz,1 fl oz
2340862,248,Quantity not specified,Quantity not specified
2340862,31,1 fl oz,1 fl oz
2340862,248,1 cup,1 cup
2340863,248,1 cup,1 cup
2340863,248,Quantity not specified,Quantity not specified
2340863,31,1 fl oz,1 fl oz
2340864,248,Quantity not specified,Quantity not specified
2340864,248,1 cup,1 cup
2340864,31,1 fl oz,1 fl oz
2340865,248,Quantity not specified,Quantity not specified
2340865,31,1 fl oz,1 fl oz
2340865,248,1 cup,1 cup
2340866,31,1 fl oz,1 fl oz
2340866,248,1 cup,1 cup
2340866,248,Quantity not specified,Quantity not specified
2340867,31,1 fl oz,1 fl oz
2340867,248,1 cup,1 cup
2340867,248,Quantity not specified,Quantity not specified
2340868,31,1 fl oz,1 fl oz
2340868,248,Quantity not specified,Quantity not specified
2340868,248,1 cup,1 cup
2340869,248,Quantity not specified,Quantity not specified
2340869,248,1 cup,1 cup
2340869,31,1 fl oz,1 fl oz
2340870,31,1 fl oz,1 fl oz
2340870,248,Quantity not specified,Quantity not specified
2340870,248,1 cup,1 cup
2340871,248,1 cup,1 cup
2340871,248,Quantity not specified,Quantity not specified
2340871,31,1 fl oz,1 fl oz
2340872,248,1 cup,1 cup
2340872,31,1 fl oz,1 fl oz
2340872,248,Quantity not specified,Quantity not specified
2340873,248,1 cup,1 cup
2340873,248,Quantity not specified,Quantity not specified
2340873,31,1 fl oz,1 fl oz
2340874,248,Quantity not specified,Quantity not specified
2340874,31,1 fl oz,1 fl oz
2340874,248,1 cup,1 cup
2340875,248,1 cup,1 cup
2340875,31,1 fl oz,1 fl oz
2340875,248,Quantity not specified,Quantity not specified
2340876,248,1 cup,1 cup
2340876,31,1 fl oz,1 fl oz
2340876,248,Quantity not specified,Quantity not specified
2340877,31,1 fl oz,1 fl oz
2340877,248,1 cup,1 cup
2340877,248,Quantity not specified,Quantity not specified
2340878,248,Quantity not specified,Quantity not specified
2340878,248,1 cup,1 cup
2340878,31,1 fl oz,1 fl oz
2340879,248,1 cup,1 cup
2340879,248,Quantity not specified,Quantity not specified
2340879,31,1 fl oz,1 fl oz
2340880,31,1 fl oz,1 fl oz
2340880,248,Quantity not specified,Quantity not specified
2340880,248,1 cup,1 cup
2340881,206,Quantity not specified,Quantity not specified
2340881,31,1 fl oz,1 fl oz
2340881,206,"1 packet, reconstituted","1 packet, reconstituted"
2340881,248,1 cup,1 cup
2340882,211,Quantity not specified,Quantity not specified
2340882,31,1 fl oz,1 fl oz
2340882,211,"1 packet, reconstituted","1 packet, reconstituted"
2340882,248,1 cup,1 cup
2340883,248,1 cup,1 cup
2340883,211,"1 packet, reconstituted","1 packet, reconstituted"
2340883,211,Quantity not specified,Quantity not specified
2340883,31,1 fl oz,1 fl oz
2340884,211,Quantity not specified,Quantity not specified
2340884,211,"1 packet, reconstituted","1 packet, reconstituted"
2340884,248,1 cup,1 cup
2340884,31,1 fl oz,1 fl oz
2340885,211,"1 packet, reconstituted","1 packet, reconstituted"
2340885,211,Quantity not specified,Quantity not specified
2340885,31,1 fl oz,1 fl oz
2340885,248,1 cup,1 cup
2340886,211,Quantity not specified,Quantity not specified
2340886,31,1 fl oz,1 fl oz
2340886,211,"1 packet, reconstituted","1 packet, reconstituted"
2340886,248,1 cup,1 cup
2340887,194,Quantity not specified,Quantity not specified
2340887,248,1 cup,1 cup
2340887,194,"1 packet, reconstituted","1 packet, reconstituted"
2340887,31,1 fl oz,1 fl oz
2340888,199,Quantity not specified,Quantity not specified
2340888,199,"1 packet, reconstituted","1 packet, reconstituted"
2340888,31,1 fl oz,1 fl oz
2340888,248,1 cup,1 cup
2340889,248,1 cup,1 cup
2340889,31,1 fl oz,1 fl oz
2340889,199,"1 packet, reconstituted","1 packet, reconstituted"
2340889,199,Quantity not specified,Quantity not specified
2340890,248,1 cup,1 cup
2340890,199,"1 packet, reconstituted","1 packet, reconstituted"
2340890,31,1 fl oz,1 fl oz
2340890,199,Quantity not specified,Quantity not specified
2340891,199,Quantity not specified,Quantity not specified
2340891,199,"1 packet, reconstituted","1 packet, reconstituted"
2340891,31,1 fl oz,1 fl oz
2340891,248,1 cup,1 cup
2340892,199,Quantity not specified,Quantity not specified
2340892,199,"1 packet, reconstituted","1 packet, reconstituted"
2340892,248,1 cup,1 cup
2340892,31,1 fl oz,1 fl oz
2340893,248,Quantity not specified,Quantity not specified
2340893,248,1 cup,1 cup
